case,V6_E_wait,V6_E_memory_new,V6_E_finish,selected_skeleton,selected_E_wait,selected_E_memory_new,selected_E_finish,E_wait_delta,E_memory_delta,E_finish_delta,runtime,case_profile,hard_job_count,protected_job_count,window_size,candidate_source
case055.in,1476130.0,9835230.0,11637.0,v6_safe,1476130.0,9835230.0,11637.0,0.0,0.0,0.0,0.498284,balanced,0,0,0,v6_safe
case056.in,0.0,3250730.0,12452.0,window_memory_hotspot,0.0,3240950.0,12452.0,0.0,-9780.0,0.0,0.245885,balanced,0,0,80,window_repacking
case057.in,0.0,5259490.0,12561.0,v6_safe,0.0,5259490.0,12561.0,0.0,0.0,0.0,0.261826,balanced,0,0,0,v6_safe
case058.in,726123.0,10886400.0,11226.0,v6_safe,726123.0,10886400.0,11226.0,0.0,0.0,0.0,0.352060,balanced,0,0,0,v6_safe
case059.in,0.0,3477820.0,12512.0,hard_p5_slack0,0.0,3423020.0,12512.0,0.0,-54800.0,0.0,0.020881,balanced,49,0,0,hard_job_skeleton
case060.in,0.0,4411370.0,12459.0,v6_safe,0.0,4411370.0,12459.0,0.0,0.0,0.0,0.248608,balanced,0,0,0,v6_safe
case061.in,9368310.0,8395960.0,9845.0,v6_safe,9368310.0,8395960.0,9845.0,0.0,0.0,0.0,2.624851,balanced,0,0,0,v6_safe
case062.in,1372940.0,22451600.0,17913.0,v6_safe,1372940.0,22451600.0,17913.0,0.0,0.0,0.0,0.842640,memory_dominated,0,0,0,v6_safe
case063.in,42186.0,7251430.0,15640.0,window_tail_hotspot,41812.0,7246830.0,15640.0,-374.0,-4600.0,0.0,0.319917,memory_dominated,0,0,80,window_repacking
case064.in,0.0,6539980.0,20472.0,v6_safe,0.0,6539980.0,20472.0,0.0,0.0,0.0,0.331144,balanced,0,0,0,v6_safe
case065.in,13942800.0,10014000.0,10553.0,v6_safe,13942800.0,10014000.0,10553.0,0.0,0.0,0.0,7.223495,balanced,0,0,0,v6_safe
case066.in,1506500.0,15244300.0,17722.0,reservation_top10_slack,1457420.0,15081200.0,17915.0,-49080.0,-163100.0,193.0,0.025283,balanced,0,10,0,reservation_profile
case067.in,337198.0,20439000.0,15807.0,v6_safe,337198.0,20439000.0,15807.0,0.0,0.0,0.0,0.422038,memory_dominated,0,0,0,v6_safe
case068.in,0.0,6306620.0,20443.0,v6_safe,0.0,6306620.0,20443.0,0.0,0.0,0.0,0.375434,balanced,0,0,0,v6_safe
case069.in,33781500.0,14473800.0,13463.0,v6_safe,33781500.0,14473800.0,13463.0,0.0,0.0,0.0,13.361843,balanced,0,0,0,v6_safe
case070.in,6195330.0,28831900.0,19030.0,v6_safe,6195330.0,28831900.0,19030.0,0.0,0.0,0.0,2.501682,balanced,0,0,0,v6_safe
